"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1646","test","nogo_left.jpg","nogo","left",20032344,"left",0,1,"cx",1.847,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1647","test","nogo_right.jpg","nogo","right",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1648","test","con_right.jpg","congruent","right",20032344,"right",1,1,"xc",1.747,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1649","test","con_left.jpg","congruent","left",20032344,"left",1,0,"cc",1.514,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1650","test","in_right.jpg","incongruent","right",20032344,"right",1,1,"ci",3.48,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1651","test","in_left.jpg","incongruent","left",20032344,"left",1,0,"ii",1.696,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1652","test","con_left.jpg","congruent","left",20032344,"left",1,1,"ic",1.648,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1653","test","con_right.jpg","congruent","right",20032344,"right",1,0,"cc",1.415,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1654","test","nogo_left.jpg","nogo","left",20032344,NA,1,1,"cx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1655","test","nogo_right.jpg","nogo","right",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
