"","participant_number_fl","congruent_mean_rt","incongruent_mean_rt","congruency_effect_rt","overall_mean_congruency_rt","overall_sd_congruency_rt","flanker_congruency_rt_z_score","congruent_mean_acc","incongruent_mean_acc","nogo_mean_acc","congruency_effect_acc","overall_mean_congruency_acc","overall_sd_congruency_acc","flanker_congruency_acc_z_score","composite_congruency_effect","nonswitch_mean_rt","switch_mean_rt","switch_effect_rt","overall_mean_switch","overall_sd_switch","flanker_switch_rt_z_score","nonswitch_mean_acc","switch_mean_acc","switch_effect_acc","overall_mean_switch_acc","overall_sd_switch_acc","flanker_switch_acc_z_score","composite_switch_effect","go_mean_acc","go_mean_errors","nogo_mean_errors","nogo_effect","overall_mean_nogo_effect","overall_sd_nogo_effect","flanker_nogo_effect_z_score","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude","mean_age_months","sd_age_months","age_months_z_score"
"24",20032304,1.04366666666667,1.07880586910255,0.0351392024358879,0.243255917457493,0.433110212197958,-0.48051675799896,1,1,0.416666666666667,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.431713763582162,1.1052427662937,1.03316666666667,-0.0720760996270291,0.228278758738843,0.376368608345382,-0.798033767179237,0.823529411764706,0.777777777777778,0.0457516339869281,0.00245098039215686,0.092591421011293,0.467652976073129,-0.165190395553054,1,0,0.583333333333333,-0.416666666666667,-0.764093137254902,0.295997545178227,1.17374781057404,20032304,"child","5-year-olds","2023-03-20",71,"5 years, 11 months","f",2,"adc5","ok","made a lot of mistakes with the fishbowls at the end","no",64.9264705882353,9.40834208509484,0.645547255492197
"25",20032305,1.66736363636364,2.07853692104897,0.411173284685331,0.243255917457493,0.433110212197958,0.387701242082672,0.916666666666667,1,0.916666666666667,-0.0833333333333334,0.0894607843137255,0.233633502940449,-0.739594773319401,-0.175946765618364,1.7227,1.88683333333333,0.164133333333333,0.228278758738843,0.376368608345382,-0.170432453672239,0.941176470588235,0.944444444444444,-0.00326797385620914,0.00245098039215686,0.092591421011293,-0.0617654874058849,-0.116098970539062,0.958333333333333,0.0416666666666666,0.0833333333333334,-0.875,-0.764093137254902,0.295997545178227,-0.374688454521873,20032305,"child","6-year-olds","2023-03-20",72,"6 years, 0 months","f",5,"adc5","hears another language at home but knows mostly French","ok","no",64.9264705882353,9.40834208509484,0.7518359077282
"26",20032307,1.22833333333333,1.26166666666667,0.0333333333333334,0.243255917457493,0.433110212197958,-0.484686295109134,1,1,0.916666666666667,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.433798532137249,1.22809090909091,1.25758333333333,0.0294924242424242,0.228278758738843,0.376368608345382,-0.528169273655253,1,0.944444444444444,0.0555555555555556,0.00245098039215686,0.092591421011293,0.573536668768933,0.0226836975568399,1,0,0.0833333333333334,-0.916666666666667,-0.764093137254902,0.295997545178227,-0.515455387712411,20032307,"child","6-year-olds","2023-03-20",72,"6 years, 0 months","f",6,"adc5","ok","ok","no",64.9264705882353,9.40834208509484,0.7518359077282
"27",20032308,0.78575,0.862878886741365,0.0771288867413652,0.243255917457493,0.433110212197958,-0.383567567878536,1,1,0,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.38323916852195,0.839378886741365,0.80925,-0.0301288867413652,0.228278758738843,0.376368608345382,-0.68658129225027,0.705882352941177,0.666666666666667,0.0392156862745099,0.00245098039215686,0.092591421011293,0.397063847609262,-0.144758722320504,1,0,1,0,-0.764093137254902,0.295997545178227,2.58141714247942,20032308,"child","5-year-olds","2023-03-20",65,"5 years, 5 months","m",4,"adc5","stopped early (about halfway) because didn't want to continue","didn't always understand the aquariums","no",64.9264705882353,9.40834208509484,0.00781534207617716
"28",20032309,2.4445,2.623875,0.179375,0.243255917457493,0.433110212197958,-0.147493445451928,0.833333333333333,0.666666666666667,1,0.166666666666667,0.0894607843137255,0.233633502940449,0.330457239142711,0.0914818968453914,2.85833333333333,2.19011111111111,-0.668222222222222,0.228278758738843,0.376368608345382,-2.3819759700532,0.882352941176471,0.833333333333333,0.0490196078431372,0.00245098039215686,0.092591421011293,0.502947540305063,-0.939514214874069,0.75,0.25,0,-0.75,-0.764093137254902,0.295997545178227,0.0476123450497406,20032309,"child","5-year-olds","2023-03-21",64,"5 years, 4 months","m",6,"adc5","ok","distracted, looked at their friend; keys didn't always work","no",64.9264705882353,9.40834208509484,-0.0984733101598261
"29",20032310,1.18064499542456,0.967916666666667,-0.212728328757893,0.243255917457493,0.433110212197958,-1.05281342571293,0.916666666666667,1,0.666666666666667,-0.0833333333333334,0.0894607843137255,0.233633502940449,-0.739594773319401,-0.896204099516165,0.9794,1.08950791247251,0.110107912472513,0.228278758738843,0.376368608345382,-0.3139763615936,0.764705882352941,0.944444444444444,-0.179738562091503,0.00245098039215686,0.092591421011293,-1.96767195593034,-1.14082415876197,0.958333333333333,0.0416666666666666,0.333333333333333,-0.625,-0.764093137254902,0.295997545178227,0.469913144621354,20032310,"child","5-year-olds","2023-03-21",70,"5 years, 10 months","f",4,"adc5","stood up a lot","ok","no",64.9264705882353,9.40834208509484,0.539258603256194
"30",20032311,2.37166666666667,3.224,0.852333333333334,0.243255917457493,0.433110212197958,1.40628735763325,1,0.833333333333333,1,0.166666666666667,0.0894607843137255,0.233633502940449,0.330457239142711,0.868372298387978,2.709,2.70545454545455,-0.00354545454545452,0.228278758738843,0.376368608345382,-0.615949917564749,0.941176470588235,0.944444444444444,-0.00326797385620914,0.00245098039215686,0.092591421011293,-0.0617654874058849,-0.338857702485317,0.916666666666667,0.0833333333333334,0,-0.916666666666667,-0.764093137254902,0.295997545178227,-0.515455387712411,20032311,"child","5-year-olds","2023-03-21",61,"5 years, 1 months","f",3,"adc5","ok","ok","no",64.9264705882353,9.40834208509484,-0.417339266867836
"31",20032312,2.30225,2.12509090909091,-0.177159090909091,0.243255917457493,0.433110212197958,-0.970688283319507,1,0.916666666666667,0.833333333333333,0.0833333333333334,0.0894607843137255,0.233633502940449,-0.0262267650113261,-0.498457524165417,2.09116666666667,2.35536363636364,0.264196969696969,0.228278758738843,0.376368608345382,0.095433599300517,0.941176470588235,0.888888888888889,0.0522875816993464,0.00245098039215686,0.092591421011293,0.538242104536999,0.316837851918758,0.958333333333333,0.0416666666666666,0.166666666666667,-0.791666666666667,-0.764093137254902,0.295997545178227,-0.0931545881407975,20032312,"child","5-year-olds","2023-03-21",70,"5 years, 10 months","f",5,"adc5","trial 6 (test trial 3) should be 2 not 1","ok","no",64.9264705882353,9.40834208509484,0.539258603256194
"32",20032343,2.03283333333333,2.67983333333333,0.647,0.243255917457493,0.433110212197958,0.932197097116637,1,0.5,0.916666666666667,0.5,0.0894607843137255,0.233633502940449,1.75719325575886,1.34469517643775,1.80925,2.5999,0.79065,0.228278758738843,0.376368608345382,1.4942033655078,0.764705882352941,0.833333333333333,-0.0686274509803922,0.00245098039215686,0.092591421011293,-0.767656772044572,0.363273296731613,0.75,0.25,0.0833333333333334,-0.666666666666667,-0.764093137254902,0.295997545178227,0.329146211430816,20032343,"child","4-year-olds","2023-03-20",58,"4 years, 10 months","f",8,"adc4","trouble calibrating until we moved table; stood up a lot to point; skipped recalibration on last trial","ok","no",64.9264705882353,9.40834208509484,-0.736205223575846
"33",20032344,1.66366666666667,1.92355432941317,0.259887662746504,0.243255917457493,0.433110212197958,0.0384007230044486,1,1,0.916666666666667,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.172255023080457,1.60490909090909,1.9053876627465,0.300478571837413,0.228278758738843,0.376368608345382,0.191832717972894,1,0.944444444444444,0.0555555555555556,0.00245098039215686,0.092591421011293,0.573536668768933,0.382684693370913,1,0,0.0833333333333334,-0.916666666666667,-0.764093137254902,0.295997545178227,-0.515455387712411,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no",64.9264705882353,9.40834208509484,-0.311050614631833
"34",20032345,1.61666666666667,1.54841666666667,-0.0682500000000001,0.243255917457493,0.433110212197958,-0.719230137466985,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.551070453316174,1.44454545454545,1.70941666666667,0.264871212121212,0.228278758738843,0.376368608345382,0.0972250410129559,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,0.0353770589195026,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no",64.9264705882353,9.40834208509484,0.220392646548184
"35",22032301,1.47458333333333,1.66583333333333,0.19125,0.243255917457493,0.433110212197958,-0.120075481927733,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.251493125546548,1.59027272727273,1.56766666666667,-0.0226060606060605,0.228278758738843,0.376368608345382,-0.666593370918634,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,-0.346532147046292,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,22032301,"child","6-year-olds","2023-03-22",73,"6 years, 1 months","f",7,"??","very slow to respond for one test trial near beginning","ok","no",64.9264705882353,9.40834208509484,0.858124559964203
"36",22032302,1.69433333333333,1.94833333333333,0.254,0.243255917457493,0.433110212197958,0.0248068095369608,1,1,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,-0.179051979814201,1.70158333333333,1.94108333333333,0.2395,0.228278758738843,0.376368608345382,0.0298144983729869,1,1,0,0.00245098039215686,0.092591421011293,-0.0264709231739507,0.0016717875995181,1,0,0,-1,-0.764093137254902,0.295997545178227,-0.796989254093487,22032302,"child","4-year-olds","2023-03-22",56,"4 years, 8 months","m",8,"??","stood up, looked at me a lot","ok","no",64.9264705882353,9.40834208509484,-0.948782528047852
"37",22032303,1.80345454545455,2.42609090909091,0.622636363636364,0.243255917457493,0.433110212197958,0.875944356642117,0.916666666666667,0.916666666666667,1,0,0.0894607843137255,0.233633502940449,-0.382910769165363,0.246516793738377,1.92327272727273,2.30627272727273,0.383,0.228278758738843,0.376368608345382,0.411089654743931,0.941176470588235,0.944444444444444,-0.00326797385620914,0.00245098039215686,0.092591421011293,-0.0617654874058849,0.174662083669023,0.916666666666667,0.0833333333333334,0,-0.916666666666667,-0.764093137254902,0.295997545178227,-0.515455387712411,22032303,"child","4-year-olds","2023-03-22",51,"4 years, 3 months","m",1,"??","stood up a lot in beginning","ok","no",64.9264705882353,9.40834208509484,-1.48022578922787
"38",22032305,1.21375,1.21025,-0.00350000000000006,0.243255917457493,0.433110212197958,-0.569730083724532,0.333333333333333,0.666666666666667,1,-0.333333333333333,0.0894607843137255,0.233633502940449,-1.80964678578151,-1.18968843475302,1.135,1.36425,0.22925,0.228278758738843,0.376368608345382,0.00258055863220619,0.823529411764706,0.555555555555556,0.26797385620915,0.00245098039215686,0.092591421011293,2.86768334384466,1.43513195123843,0.5,0.5,0,-0.5,-0.764093137254902,0.295997545178227,0.892213944192968,22032305,"child","5-year-olds","2023-03-22",66,"5 years, 6 months","f",3,"??","wears glasses but did task fine without","often seemed to switch between keys","no",64.9264705882353,9.40834208509484,0.11410399431218
